1001 Teilenummer;;;;;;;
1002 Teilebezeichnung;Kolbenstange_V5;;Kolbenstange_V5;;Kolbenstange_V5;;
2002 Merkmalbezeichnung;Koaxalit�t;;Durchmesser nach Gewinde;;L�nge;;
2101 Nennma�;0,0000;;0,0000;;163,6000;;
2104 Toleranzwert;0;;0;;0;;
2110 Untere Spezifikationsgrenze;0,0000;;-0,0180;;163,4500;;
2111 Obere Spezifikationsgrenze;50,0000;;0,0180;;163,7500;;
Messwerte;14 Teileidentnummer;1 Messwert;14 Teileidentnummer;1 Messwert;14 Teileidentnummer;1 Messwert;
;200402;13,2;200402;0,001;200402;163,668;
;200401;9,09;200401;0;200401;163,677;
;200304;33,9;200304;0,0005;200304;163,658;
;200303;44;200303;0;200303;163,653;
;200302;22,3;200302;0,0005;200302;163,649;
;200301;34,1;200301;0,0035;200301;163,653;
;200204;42,7;200204;0,004;200204;163,646;
;200203;44,4;200203;0,0055;200203;163,652;
;200202;32,2;200202;0,0045;200202;163,654;
;200201;14,9;200201;0,008;200201;163,671;
;200104;28,8;200104;0,0015;200104;163,66;
;200103;46,2;200103;0,0035;200103;163,66;
;200102;29,2;200102;0,0055;200102;163,656;
;200101;20,3;200101;0,007;200101;163,649;
;221304;42,2;221304;-0,0045;221304;163,65;
;221303;36;221303;-0,0055;221303;163,662;
;222404;38,7;222404;0,0055;222404;163,662;
;222304;8,92;222304;-0,001;222304;163,702;
;222703;47,7;222703;0,006;222703;163,68;
;222502;13,8;222502;0;222502;163,666;
;222501;26,5;222501;-0,0015;222501;163,701;
;222603;19,3;222603;0,005;222603;163,652;
;222702;12,7;222702;0,004;222702;163,676;
;221504;43,3;221504;0,001;221504;163,647;
;221503;29,1;221503;-0,0005;221503;163,653;
;222504;37,2;222504;0;222504;163,662;
;222704;41,5;222704;0,006;222704;163,662;
;222602;36,6;222602;0,0035;222602;163,726;
;221702;24,9;221702;0,0025;221702;163,648;
;222604;40,7;222604;0,0025;222604;163,646;
;221502;7,67;221502;-0,001;221502;163,645;
;221704;37,2;221704;0,0035;221704;163,656;
;221602;35,6;221602;-0,008;221602;163,663;
;222401;30,5;222401;0;222401;163,689;
;222701;49,2;222701;0,0065;222701;163,65;
;222402;12,9;222402;0,001;222402;163,659;
;222301;4,76;222301;0,0015;222301;163,656;
;221703;58,7;221703;0,0015;221703;163,674;
;222303;32,2;222303;0,0005;222303;163,662;
;222503;18,9;222503;0,003;222503;163,653;
;222403;41,9;222403;0,0015;222403;163,662;
;222601;29,9;222601;0,003;222601;163,668;
;221701;32,5;221701;0,0005;221701;163,663;
;221403;39,5;221403;-0,002;221403;163,677;
;221603;43;221603;-0,003;221603;163,662;
;221601;43,5;221601;-0,005;221601;163,661;
;221501;56,3;221501;-0,001;221501;163,658;
;221401;66,5;221401;-0,003;221401;163,659;
;221202;30,9;221202;-0,0055;221202;163,661;
;221201;10,3;221201;-0,0025;221201;163,661;
;221204;31,5;221204;-0,004;221204;163,659;
;221103;47,4;221103;-0,001;221103;163,66;
;221104;26,4;221104;0,0015;221104;163,654;
;221203;22,8;221203;-0,001;221203;163,664;
;221102;24,8;221102;-0,0025;221102;163,658;
;221004;37,5;221004;-0,006;221004;163,652;
;221002;45,6;221002;-0,0045;221002;163,66;
;220802;26,3;220802;-0,0005;220802;163,658;
;220804;38,7;220804;-0,0005;220804;163,658;
;220904;31;220904;0,0005;220904;163,658;
;221604;49,8;221604;-0,007;221604;163,654;
;220902;31,8;220902;0,002;220902;163,653;
;222302;15,5;222302;0,005;222302;163,723;
;221101;49,9;221101;0;221101;163,641;
;221302;50,8;221302;-0,006;221302;163,652;
;221404;42,2;221404;-0,0025;221404;163,658;
;221402;39,6;221402;0,0005;221402;163,66;
;221301;12,4;221301;-0,005;221301;163,656;
