1001 Teilenummer;;;;;;;
1002 Teilebezeichnung;Kolbenstange_V5;;Kolbenstange_V5;;Kolbenstange_V5;;
2002 Merkmalbezeichnung;Koaxalit�t;;Durchmesser nach Gewinde;;L�nge;;
2101 Nennma�;0,0000;;0,0000;;163,6000;;
2104 Toleranzwert;0;;0;;0;;
2110 Untere Spezifikationsgrenze;0,0000;;-0,0180;;163,4500;;
2111 Obere Spezifikationsgrenze;50,0000;;0,0180;;163,7500;;
Messwerte;14 Teileidentnummer;1 Messwert;14 Teileidentnummer;1 Messwert;14 Teileidentnummer;1 Messwert;
;208302;37,8;208302;-0,003;208302;163,614;
;208702;15;208702;0,004;208702;163,648;
;208704;32;208704;0,003;208704;163,632;
;208304;33,8;208304;-0,005;208304;163,671;
;208604;31,8;208604;-0,003;208604;163,63;
;208602;32,8;208602;-0,001;208602;163,635;
;208504;14,2;208504;-0,001;208504;163,686;
;208402;16,9;208402;-0,001;208402;163,624;
;208502;31,1;208502;0;208502;163,642;
;208404;35,7;208404;0,002;208404;163,663;
;207302;30,3;207302;0,001;207302;163,668;
;207304;26,4;207304;0;207304;163,654;
;207402;30,3;207402;0,005;207402;163,654;
;224904;15,5;224904;-0,0065;224904;163,668;
;225002;12,5;225002;0,0015;225002;163,667;
;224902;38;224902;-0,0125;224902;163,663;
;224804;47,3;224804;0,009;224804;163,668;
;225001;18,9;225001;-0,0055;225001;163,69;
;225003;7,41;225003;0,008;225003;163,691;
;224903;19,2;224903;-0,0055;224903;163,681;
;224803;37;224803;-0,0035;224901;163,663;
;224801;41;224801;-0,0005;224801;163,655;
;224603;42,6;224603;-0,016;224603;163,669;
;224601;18,9;224601;-0,014;224601;163,669;
;224503;34,1;224503;-0,0015;224503;163,663;
;224501;32,8;224501;-0,016;224501;163,663;
;224403;39,4;224403;0,002;224403;163,687;
;224701;13;224701;-0,001;224701;163,669;
;224401;33,4;224401;0,0125;224401;163,69;
;224303;61,5;224303;0,018;224303;163,686;
;224703;30;224703;-0,013;224703;163,686;
;224704;44,6;224704;-0,004;224704;163,674;
;224702;28,7;224702;-0,0005;224702;163,671;
;224604;36,7;224604;0,0055;224604;163,708;
;224602;21;224602;-0,011;224602;163,674;
;224504;14;224504;-0,017;224504;163,685;
;224502;15,8;224502;-0,0055;224502;163,666;
;224404;44;224404;-0,0035;224404;163,678;
;224402;37,4;224402;-0,0065;224402;163,686;
;224304;26,9;224304;0,0155;224304;163,68;
;224302;56,1;224302;-0,003;224302;163,685;
;224301;50,4;224301;0,008;224301;163,724;
;224204;35,3;224204;0,0135;224204;163,682;
;224201;57;224201;0,001;224201;163,713;
;224202;52,3;224202;-0,007;224202;163,683;
;224103;64,1;224103;0,004;224103;163,706;
;224203;41,8;224203;0,0005;224203;163,701;
;224104;56,5;224104;0,001;224104;163,721;
;224001;70,2;224001;-0,004;224001;163,702;
;224003;30,1;224003;0,0015;224003;163,715;
;224101;63,9;224101;0,0035;224101;163,728;
;223804;40,2;223804;-0,0115;223804;163,707;
;223803;29,6;223803;-0,0095;223803;163,682;
;223904;40,8;223904;0,0045;223904;163,725;
;223903;58,3;223903;0,0015;223903;163,638;
;223902;28,1;223902;0,0045;223902;163,687;
;223901;60;223901;0,001;223901;163,733;
;224002;43,7;224002;0,0115;224002;163,71;
;223802;29,2;223802;-0,009;223802;163,676;
;224102;48;224102;0,005;224102;163,657;
;224004;66,3;224004;-0,005;224004;163,741;
;223504;19,2;223504;-0,0115;223504;163,661;
;223702;33,1;223702;-0,0135;223702;163,644;
;223704;45;223704;-0,0155;223704;163,705;
;223602;23,8;223602;-0,016;223602;163,656;
;223801;57,7;223801;-0,0035;223801;163,755;
;223304;28,8;223304;0,017;223304;163,654;
;223302;24,4;223302;0,027;223302;163,705;
;223402;19,6;223402;-0,005;223402;163,667;
;223404;21,2;223404;-0,0105;223404;163,658;
;223604;41;223604;-0,013;223604;163,658;
;223502;20,6;223502;-0,0065;223502;163,669;
;223301;16;223301;0,0205;223301;163,671;
;223503;31,8;223503;0,0135;223503;163,667;
;223701;11,8;223701;-0,0055;223701;163,654;
;223303;22,5;223303;0,02;223303;163,654;
;223603;3,79;223603;-0,018;223603;163,666;
;223403;17,8;223403;-0,0055;223403;163,657;
;223401;4,79;223401;-0,006;223401;163,642;
;223601;49,3;223601;-0,0115;223601;163,647;
;223501;31,7;223501;-0,006;223501;163,661;
;223703;29,2;223703;-0,0115;223703;163,639;
;223202;41,9;223202;0,0175;223202;163,676;
;223104;7,57;223104;0,013;223104;163,656;
;223102;11,8;223102;0,0175;223102;163,667;
;223204;39,7;223204;0,0165;223204;163,674;
;223004;6,22;223004;0,018;223004;163,679;
;223203;36,9;223203;0,0135;223203;163,667;
;223201;26,9;223201;0,015;223201;163,662;
;223103;30,5;223103;0,014;223103;163,682;
;223003;75,3;223003;0,015;223003;163,68;
;223001;54,3;223001;0,012;223001;163,681;
;222903;60;222903;0,005;222903;163,704;
;223101;9,87;223101;0,018;223101;163,665;
;222901;31,9;222901;0,0005;222901;163,696;
;222802;57,3;222802;0,0055;222802;163,692;
;222902;23,4;222902;0,005;222902;163,69;
;222804;62,6;222804;0,0075;222804;163,689;
;222904;34,3;222904;0,007;222904;163,687;
;223002;29,5;223002;0,018;223002;163,666;
;222801;46,4;222801;0,005;222801;163,68;
;222803;24,3;222803;0,0065;222803;163,684;
;207502;47,8;207502;-0,0015;207502;163,633;
;207801;48,9;207801;0,0005;207801;163,608;
;208001;37,5;208001;0,011;208001;163,622;
;207901;20,4;207901;0,008;207901;163,633;
;207903;29,6;207903;-0,0015;207903;163,633;
;208003;36,9;208003;0,008;208003;163,61;
;207803;45,9;207803;-0,008;207803;163,615;
;208101;56,8;208101;0,013;208101;163,615;
;208103;36,7;208103;-0,004;208103;163,658;
;207802;39,2;207802;-0,003;207802;163,617;
;207804;34,2;207804;-0,005;207804;163,621;
;208201;45,4;208201;-0,0025;208201;163,617;
;208203;46,5;208203;-0,0105;208203;163,612;
;207902;24,9;207902;0,0015;207902;163,627;
;207904;19,6;207904;0,0005;207904;163,615;
;208004;17,3;208004;0,0105;208004;163,674;
;207203;44,8;207203;-0,001;207203;163,646;
;225004;27,9;225004;0,003;225004;163,722;
;208202;40,9;208202;-0,006;208202;163,676;
;208204;23,4;208204;0,002;208204;163,624;
;207504;31,6;207504;-0,001;207504;163,625;
;207602;24,3;207602;-0,002;207602;163,673;
;207702;35,7;207702;-0,005;207702;163,656;
;207704;33,8;207704;0,0015;207704;163,623;
;207703;32,7;207703;-0,0055;207703;163,614;
;207701;38,2;207701;0,0045;207701;163,63;
;207603;5,73;207603;-0,0025;207603;163,615;
;207601;38,7;207601;0,002;207601;163,626;
;207503;50,1;207503;-0,0015;207503;163,66;
;207403;41,2;207403;0,0015;207403;163,615;
;207401;12,7;207401;0,001;207401;163,618;
;207303;40,3;207303;-0,011;207303;163,624;
;207301;21,4;207301;-0,002;207301;163,625;
;206503;44,1;206503;-0,0035;206503;163,629;
;206501;71,3;206501;0,0045;206501;163,719;
;206403;24,1;206403;-0,0065;206403;163,637;
;207204;50,2;207204;-0,0075;207204;163,632;
;207202;40,3;207202;-0,001;207202;163,617;
;207201;57,6;207201;-0,001;207201;163,63;
;206201;33,4;206201;0,0085;206201;163,609;
;206203;13,6;206203;-0,007;206203;163,628;
;206301;12,5;206301;0;206301;163,645;
;206303;15,7;206303;-0,0115;206303;163,614;
;206401;22,5;206401;0,0015;206401;163,62;
;206504;45,9;206504;-0,008;206504;163,609;
;206502;31,5;206502;-0,003;206502;163,687;
;206404;35,6;206404;-0,0075;206404;163,673;
;206402;28,8;206402;-0,002;206402;163,622;
;206304;47,7;206304;-0,0155;206304;163,608;
;206302;37,7;206302;-0,004;206302;163,617;
;206204;17,8;206204;-0,012;206204;163,612;
