CPU_Kuehler_Temp
CPU_Temp
CutCounter
CutTime
FFT_Anforderung
FlatstreamCutCounter
FlatstreamDone
FsMode_1Raw_2FftRaw_3FttHK
HebenAktiv
MotorAn
PData.CosPhi
PData.CutEnergy
PData.PEff
P_Vorschub
Position
Position_Band
TData.T1
TData.T2
TData.T3
TData.T4
TData.T_IR
Vib01.CREST
Vib01.Kurtosis
Vib01.Peak
Vib01.RMS
Vib01.Skewness
Vib01.VDI3832
Vib02.CREST
Vib02.Kurtosis
Vib02.Peak
Vib02.RMS
Vib02.Skewness
Vib02.VDI3832
Vib03.CREST
Vib03.Kurtosis
Vib03.Peak
Vib03.RMS
Vib03.Skewness
Vib03.VDI3832
ZaehneProBand
bCutActive
fLichtschranke
obereMaterialkante
vVorschub
