part_id;coaxiality;diameter;length
205304;34.3;-0.0105;163.652
205401;29.4;0.0055;163.636
205402;54.1;-0.0045;163.636
205403;53.8;-0.004;163.742
205404;45.1;-0.008;163.695
205501;48.3;-0.0045;163.692
205502;37.5;-0.008;163.658
205503;62.2;-0.0115;163.646
205504;35.4;-0.0095;163.701
205602;40.1;-0.0115;163.734
205603;46.3;-0.0095;163.646
205604;20.2;-0.011;163.656
205701;30.6;-0.0015;163.649
205702;35.3;-0.003;163.655
205703;39.2;-0.0095;163.645
205704;58.2;-0.0125;163.646
205801;66.4;0;163.698
205802;31.5;-0.0115;163.743
205803;20.1;-0.012;163.69
205804;36.7;-0.0135;163.644
205901;41.8;-0.005;163.623
205902;46;-0.021;163.676
205903;12.7;-0.014;163.653
205904;49.2;-0.0175;163.639
206002;41.5;-0.01;163.62
206004;22.2;-0.0135;163.61
206102;64.4;0.0065;163.61
206103;41.7;-0.008;163.62
206104;33;-0.007;163.616
206201;33.4;0.0085;163.609
206202;9.26;-0.0035;163.613
206203;13.6;-0.007;163.628
206204;17.8;-0.012;163.612
206301;12.5;0;163.645
206302;37.7;-0.004;163.617
206303;15.7;-0.0115;163.614
206304;47.7;-0.0155;163.608
206401;22.5;0.0015;163.62
206402;28.8;-0.002;163.622
206403;24.1;-0.0065;163.637
206404;35.6;-0.0075;163.673
206501;71.3;0.0045;163.719
206502;31.5;-0.003;163.687
206503;44.1;-0.0035;163.629
206504;45.9;-0.008;163.609
206602;41.7;0.002;163.607
206603;67.6;-0.0075;163.608
206604;25.5;-0.011;163.623
206701;62.8;0.004;163.479
206702;14.3;-0.0025;163.622
206703;49.8;-0.0035;163.612
206704;13.2;-0.01;163.601
206801;24.1;-0.005;163.612
206802;6.54;-0.005;163.646
206803;20.6;-0.0125;163.613
206804;25.1;-0.001;163.603
206901;65;-0.003;163.619
206902;30.9;-0.0045;163.611
206903;23.9;-0.008;163.626
206904;55.9;-0.007;163.692
207001;22.5;0.002;163.644
207002;9.83;-0.007;163.653
207003;46.5;-0.0005;163.62
207004;22.8;0.003;163.62
207101;47.4;-0.0105;163.643
207103;64.3;0.0005;163.622
207201;57.6;-0.001;163.63
207202;40.3;-0.001;163.617
207203;44.8;-0.001;163.646
207204;50.2;-0.0075;163.632
207301;21.4;-0.002;163.625
207302;30.3;0.001;163.668
207303;40.3;-0.011;163.624
207304;26.4;0;163.654
207401;12.7;0.001;163.618
207402;30.3;0.005;163.654
207403;41.2;0.0015;163.615
207502;47.8;-0.0015;163.633
207503;50.1;-0.0015;163.66
207504;31.6;-0.001;163.625
207601;38.7;0.002;163.626
